,county,state,2020 Democrat vote raw,2020 Democrat vote %,2020 Republican vote raw,2020 Republican vote %,2020 other vote raw,2020 other vote %,Population with less than 9th grade education,"Population with 9th to 12th grade education, no diploma",High School graduate and equivalent,"Some College,No Degree",Associates Degree,Bachelors Degree,Graduate or professional degree,Gini Index,Median income (dollars),Mean income (dollars),Area in square Km,Density per square km,Total Population,Hispanic or Latino percentage,NH-White percentage,NH-Black percentage,NH-American Indian and Alaska Native percentage,NH-Asian percentage,NH-Native Hawaiian and Other Pacific Islander percentage,NH-Some Other Race percentage,NH-Two or More Races percentage,"Percentage engaged in Management, business, science, and arts occupations",Percentage engaged in Service Occupations,Percentage engaged in Sales and Office,Percentage engaged in Resources and Construction,Percentage engaged in Transportation
"Linn County, Iowa",Linn County,Iowa,70874,55.61,53364,41.87,3220,2.53,1.40%,3.60%,26.20%,20.80%,13.30%,23.70%,10.90%,0.4456,"75,457","99,589",1857.05,123.48,230299,3.87,81.59,7.03,0.17,2.32,0.23,0.29,4.5,40.15,14.63,22,7.74,15.47
"Louisa County, Iowa",Louisa County,Iowa,1726,32.37,3500,65.64,106,1.99,4.90%,9.10%,39.10%,20.70%,11.90%,11.40%,3.00%,0.4264,"72,500","90,256",1040.6,10.4,10837,15.95,78.3,0.67,0.1,2.45,0,0.13,2.41,27.49,15.89,16.45,15.17,25
"Lucas County, Iowa",Lucas County,Iowa,1284,27.73,3287,70.99,59,1.27,3.60%,4.10%,44.10%,23.50%,9.90%,10.70%,4.20%,0.4386,"63,405","77,054",1115.46,7.77,8634,2.29,94.44,0.21,0.07,0.34,0,0.07,2.58,27.09,14.18,21.27,12.42,25.04
"Lyon County, Iowa",Lyon County,Iowa,1067,15.55,5707,83.16,89,1.3,3.00%,2.30%,41.60%,18.10%,15.60%,15.20%,4.20%,0.3879,"73,735","89,292",1521.9,7.9,11934,3.41,93.64,0.32,0.17,0.2,0.36,0.04,1.86,37.59,13.58,20.44,10.68,17.71
"Madison County, Iowa",Madison County,Iowa,3134,31.9,6507,66.24,183,1.86,1.00%,2.00%,34.00%,25.60%,11.50%,19.30%,6.50%,0.3697,"88,110","98,671",1453,11.43,16548,1.91,93.69,0.27,0.09,0.5,0.05,0.34,3.14,39.96,11.67,22,14.15,12.23
"Mahaska County, Iowa",Mahaska County,Iowa,2894,25.38,8297,72.76,213,1.87,2.40%,4.40%,38.30%,20.70%,11.80%,16.70%,5.70%,0.4256,"65,200","81,121",1478.5,14.92,22190,2.16,91.3,1.73,0.18,1.13,0.07,0.15,3.28,35.05,15.29,16.37,11.57,21.73
"Marion County, Iowa",Marion County,Iowa,6178,32.12,12663,65.84,391,2.03,2.00%,4.00%,32.10%,19.20%,11.10%,21.40%,10.40%,0.4294,"74,193","94,589",1436.12,23.32,33414,2.09,92.53,0.84,0.19,1.2,0.06,0.26,2.82,38.53,14.66,18.84,8.37,19.6
"Marshall County, Iowa",Marshall County,Iowa,8176,45.08,9571,52.77,389,2.14,9.10%,5.70%,33.50%,19.50%,11.20%,14.90%,6.10%,0.3947,"70,828","82,035",1482.78,27.01,40105,22.79,68.42,1.96,0.38,3.78,0.08,0.15,2.45,30.42,15.93,17.06,11.46,25.13
"Mills County, Iowa",Mills County,Iowa,2508,30.33,5585,67.55,175,2.12,1.20%,3.70%,29.00%,23.40%,12.20%,21.00%,9.50%,0.4349,"81,907","1,05,654",1132.94,12.89,14484,3.18,92.03,0.53,0.14,0.33,0.07,0.21,3.49,43.13,14.77,18.46,9.39,14.25
"Mitchell County, Iowa",Mitchell County,Iowa,2053,35.26,3677,63.16,92,1.58,3.50%,4.20%,35.60%,19.10%,16.10%,15.70%,5.70%,0.4128,"66,056","82,619",1215.37,8.67,10565,1.83,95.41,0.4,0.03,0.43,0.04,0.22,1.66,35.03,14.07,15.49,13.5,21.91
"Monona County, Iowa",Monona County,Iowa,1407,29.76,3248,68.7,73,1.54,1.80%,5.10%,39.70%,26.60%,11.00%,11.20%,4.50%,0.3996,"59,897","73,609",1797.64,4.82,8751,2.7,92,0.32,1.67,0.31,0.02,0.29,2.7,32.85,17.22,20.21,14.88,14.84
"Monroe County, Iowa",Monroe County,Iowa,1078,26.37,2975,72.77,35,0.86,2.60%,4.40%,39.70%,18.80%,11.80%,18.50%,4.20%,0.3977,"76,324","82,311",1123.3,6.74,7577,1.54,94.92,0.24,0.16,0.21,0.03,0.41,2.49,37.71,11.57,19.45,11.99,19.28
"Montgomery County, Iowa",Montgomery County,Iowa,1583,29.72,3659,68.69,85,1.6,2.20%,6.20%,34.70%,23.50%,14.90%,13.50%,5.10%,0.4739,"61,261","83,161",1098.41,9.36,10330,3.59,92.96,0.24,0.17,0.2,0.02,0.07,2.74,29.35,15.43,22.89,11.65,20.69
"Muscatine County, Iowa",Muscatine County,Iowa,9372,45.34,10823,52.36,476,2.3,3.60%,6.30%,35.00%,20.10%,11.80%,16.40%,6.90%,0.4073,"67,427","84,799",1132.96,37.93,43235,17.97,75.48,2.51,0.13,0.93,0,0.24,2.73,30.69,16.28,15.72,8.95,28.36
"O'Brien County, Iowa",O'Brien County,Iowa,1569,20.78,5861,77.62,121,1.6,2.20%,7.10%,37.10%,17.60%,14.40%,17.00%,4.50%,0.3961,"65,076","77,922",1484.15,9.53,14182,6.95,88.91,1.12,0.27,0.56,0.08,0.18,1.93,33.67,15.53,15.37,13.3,22.13
"Osceola County, Iowa",Osceola County,Iowa,601,18.06,2690,80.83,37,1.11,6.60%,7.20%,38.10%,20.00%,13.90%,9.90%,4.30%,0.4037,"67,561","81,183",1032.59,5.95,6192,9.74,86.26,0.45,0.29,0.34,0.58,0.18,2.16,30.24,12.29,15.65,17.26,24.56
"Page County, Iowa",Page County,Iowa,2086,27.71,5319,70.66,123,1.63,2.00%,5.20%,40.80%,22.20%,12.20%,12.20%,5.50%,0.4564,"58,264","76,013",1385.5,10.99,15211,3.05,89.97,2.4,0.39,0.77,0,0.1,3.31,31.79,14.78,17.97,8.27,27.18
"Palo Alto County, Iowa",Palo Alto County,Iowa,1519,30.64,3370,67.97,69,1.39,2.20%,4.80%,30.20%,28.60%,14.00%,14.60%,5.60%,0.421,"67,306","80,710",1460.4,6.12,8996,3.05,93.27,0.58,0.17,0.41,0.07,0.23,2.22,29.91,11.86,22.17,14.24,21.81
"Plymouth County, Iowa",Plymouth County,Iowa,3494,24.63,10492,73.95,202,1.42,2.80%,2.90%,36.00%,19.80%,14.40%,17.90%,6.20%,0.4083,"79,963","98,322",2234.72,11.46,25698,5.82,89.27,1.38,0.19,0.43,0.46,0.21,2.25,34.55,15.13,17.75,11.93,20.64
"Pocahontas County, Iowa",Pocahontas County,Iowa,933,24.4,2826,73.92,64,1.67,1.40%,7.10%,37.70%,22.10%,14.60%,13.00%,4.00%,0.3999,"61,434","76,294",1495.05,4.72,7078,5,90.18,0.93,0.14,0.41,0.32,0.34,2.67,30.79,14.35,18.79,13.42,22.65
"Polk County, Iowa",Polk County,Iowa,146250,56.52,106800,41.27,5705,2.2,3.60%,3.80%,24.70%,18.80%,10.30%,26.50%,12.40%,0.4331,"78,827","1,01,787",1482.46,332.81,492401,9.76,73.57,7.11,0.22,4.94,0.06,0.35,4,44.03,14.89,21.29,7.3,12.49
"Pottawattamie County, Iowa",Pottawattamie County,Iowa,18575,40.61,26247,57.38,922,2.02,2.90%,6.50%,33.60%,22.30%,11.30%,16.10%,7.30%,0.43,"68,718","85,937",2463.78,37.97,93667,8.18,84.53,1.96,0.42,0.83,0.08,0.3,3.71,34.5,17.19,21.26,10.39,16.67
"Poweshiek County, Iowa",Poweshiek County,Iowa,4306,42.47,5657,55.79,177,1.75,2.40%,2.80%,39.00%,17.60%,9.40%,16.30%,12.60%,0.4801,"61,192","87,550",1514.94,12.28,18662,2.83,91.12,1.71,0.28,1.18,0.11,0.16,2.6,36.55,15.14,19.14,11.06,18.1
"Ringgold County, Iowa",Ringgold County,Iowa,709,26.12,1968,72.51,37,1.36,1.90%,4.10%,37.50%,22.40%,11.50%,15.80%,6.80%,0.424,"67,898","85,147",1386.9,3.38,4663,1.52,95.37,0.04,0.15,0.17,0,0.06,2.68,41.61,13.71,15.55,14.94,14.19
"Sac County, Iowa",Sac County,Iowa,1389,25.09,4061,73.37,85,1.54,2.70%,3.70%,34.40%,23.40%,14.20%,16.10%,5.60%,0.4398,"68,778","88,446",1489.3,6.57,9814,3.61,93.35,0.47,0.11,0.32,0.06,0.23,1.85,33.93,13.48,20,12.31,20.28
"Scott County, Iowa",Scott County,Iowa,46926,50.68,43683,47.17,1990,2.15,2.00%,4.10%,26.60%,21.10%,11.40%,22.30%,12.60%,0.4606,"72,792","98,290",1186.46,146.92,174669,6.92,77.05,7.84,0.19,2.76,0.03,0.3,4.91,41.11,15.03,19.68,8.6,15.57
"Shelby County, Iowa",Shelby County,Iowa,1959,28.83,4697,69.12,139,2.05,1.70%,4.00%,34.70%,22.00%,14.70%,16.30%,6.50%,0.4503,"70,295","91,452",1530.1,7.67,11746,3.51,92.71,0.45,0.25,0.42,0.03,0.08,2.56,38.8,10.78,20.62,10.21,19.58
"Sioux County, Iowa",Sioux County,Iowa,3019,15.85,15680,82.31,352,1.85,4.50%,3.90%,28.80%,17.60%,13.90%,22.30%,8.90%,0.4063,"81,914","98,083",1988.88,18.01,35872,13.7,83.4,0.51,0.24,0.61,0.01,0.12,1.4,37.38,14.12,19.7,12.65,16.14
"Story County, Iowa",Story County,Iowa,29175,57.16,20340,39.85,1523,2.98,0.80%,2.10%,16.20%,17.30%,11.00%,30.10%,22.40%,0.4779,"66,197","89,244",1482.88,66.47,98537,5.11,81.13,3.02,0.23,5.52,0.03,0.34,4.61,46.39,17.96,18.58,6.67,10.41
"Tama County, Iowa",Tama County,Iowa,3577,39.53,5303,58.61,168,1.86,3.50%,5.50%,41.60%,18.80%,12.30%,12.80%,5.50%,0.4298,"65,483","81,745",1867.41,9.11,17135,10.53,77.53,0.73,7.34,0.47,0.01,0.16,3.23,28.03,16.88,20.23,12.71,22.14
"Taylor County, Iowa",Taylor County,Iowa,746,22.96,2463,75.81,40,1.23,3.80%,5.20%,41.30%,22.00%,12.20%,11.80%,3.70%,0.4101,"65,926","79,167",1377.62,4.29,5896,6.77,89.96,0.02,0.22,0.25,0.02,0.36,2.41,31.01,16.81,13.72,15.25,23.21
"Union County, Iowa",Union County,Iowa,2061,33.32,4010,64.83,114,1.84,1.50%,5.70%,34.50%,25.00%,9.20%,17.30%,6.80%,0.4209,"56,495","72,410",1097.24,11.03,12138,3.29,92.46,0.94,0.21,0.54,0.06,0.08,2.43,30.23,16.54,19.74,11.24,22.25
"Van Buren County, Iowa",Van Buren County,Iowa,875,23.08,2859,75.42,57,1.5,8.50%,3.10%,38.70%,21.20%,10.10%,12.60%,5.90%,0.4639,"58,417","79,818",1255.61,5.74,7203,1.58,95.49,0.36,0.08,0.33,0,0.04,2.11,30.03,11.96,17.42,17.55,23.04
"Wapello County, Iowa",Wapello County,Iowa,5821,37.24,9516,60.87,296,1.89,4.80%,7.30%,38.00%,19.50%,12.00%,11.60%,6.90%,0.4312,"56,209","72,293",1118.47,31.55,35437,12.22,77.02,4.07,0.19,1.76,1.46,0.25,3.03,27.68,15.04,19.23,9.95,28.11
"Warren County, Iowa",Warren County,Iowa,12574,40.51,17782,57.29,683,2.2,0.90%,2.60%,30.00%,21.10%,13.20%,22.30%,9.80%,0.3973,"89,741","1,05,626",1475.41,35.72,52403,3.16,91.4,0.86,0.15,0.73,0.03,0.32,3.34,39.39,14.23,21.27,11.92,13.18
"Washington County, Iowa",Washington County,Iowa,4561,38.77,6971,59.25,233,1.98,3.40%,4.30%,36.30%,21.70%,10.00%,16.20%,8.20%,0.3939,"71,122","87,585",1473.26,15.3,22565,7.14,88.45,0.78,0.08,0.5,0.01,0.36,2.66,34.53,18.14,18.08,14.51,14.75
"Wayne County, Iowa",Wayne County,Iowa,727,23.38,2338,75.2,44,1.42,6.70%,3.80%,41.50%,20.40%,12.60%,11.20%,3.80%,0.4598,"58,257","80,360",1360.96,4.76,6497,0.94,95.86,0.15,0.26,0.37,0.02,0.17,2.23,29.77,13.01,14.94,17.7,24.59
"Webster County, Iowa",Webster County,Iowa,6613,37.11,10938,61.37,271,1.52,1.90%,6.30%,33.70%,24.30%,13.10%,15.40%,5.30%,0.438,"65,335","79,761",1853.67,19.95,36999,5.58,84.79,4.79,0.3,0.8,0.04,0.21,3.48,30.07,18.31,20.31,12.93,18.37
"Winnebago County, Iowa",Winnebago County,Iowa,2135,35.76,3707,62.09,128,2.14,1.70%,3.80%,31.80%,19.70%,17.10%,19.60%,6.20%,0.4392,"62,853","81,985",1037.26,10.32,10679,5.56,88.7,1.91,0.12,0.88,0.03,0.35,2.45,32.92,13.87,19.85,10.63,22.73
"Winneshiek County, Iowa",Winneshiek County,Iowa,5617,46.56,6235,51.68,212,1.76,2.20%,2.60%,33.00%,16.80%,14.80%,19.60%,11.00%,0.4404,"67,770","90,134",1786.69,11.22,20070,2.91,93.2,0.59,0.09,0.89,0.06,0.16,2.09,37.64,18.29,15.88,11.97,16.21
"Woodbury County, Iowa",Woodbury County,Iowa,18704,41.23,25736,56.73,922,2.03,6.10%,6.30%,32.70%,20.00%,11.00%,15.80%,8.10%,0.4291,"68,399","85,370",2260.79,46.68,105941,17.69,68.19,4.79,1.79,2.79,0.61,0.34,3.8,31.66,16.4,19.26,10.25,22.44
"Worth County, Iowa",Worth County,Iowa,1596,36.12,2738,61.97,84,1.9,1.20%,4.50%,35.60%,22.40%,16.80%,13.70%,5.80%,0.4028,"69,897","85,650",1036.31,7.16,7443,2.83,93.32,0.81,0.09,0.35,0.01,0.19,2.39,33.43,14.85,17.13,10.99,23.61
"Wright County, Iowa",Wright County,Iowa,1996,31.92,4136,66.13,122,1.95,2.10%,5.20%,35.30%,25.20%,11.20%,16.70%,4.30%,0.4324,"58,240","77,774",1503.26,8.58,12943,18.5,78.09,0.56,0.12,0.52,0.06,0.12,2.04,35.84,14.49,15.94,13.89,19.84
"Allen County, Kansas",Allen County,Kansas,1559,26.69,4155,71.12,128,2.19,1.80%,5.50%,34.80%,27.20%,11.00%,12.30%,7.30%,0.3881,"55,059","65,234",1295.76,9.69,12526,4.01,87.75,1.38,1.08,0.53,0.02,0.31,4.93,30.45,15.95,18.49,13.11,22
"Anderson County, Kansas",Anderson County,Kansas,765,20.56,2874,77.26,81,2.18,8.80%,4.70%,40.50%,21.50%,9.20%,9.00%,6.20%,0.4187,"67,651","74,368",1501.26,5.19,7836,1.98,92.64,0.33,0.59,0.6,0,0.33,3.53,32.19,19.32,13.38,21.97,13.15
"Atchison County, Kansas",Atchison County,Kansas,2314,31.65,4826,66,172,2.35,2.30%,4.00%,41.90%,22.30%,7.40%,13.30%,8.90%,0.4292,"55,281","71,685",1116.74,14.6,16348,3.57,85.18,4.8,0.48,0.49,0.04,0.3,5.15,34.89,21.11,20.46,9.98,13.56
"Barber County, Kansas",Barber County,Kansas,284,12.28,1992,86.12,37,1.6,1.40%,7.10%,33.70%,23.30%,10.90%,17.90%,5.70%,0.4471,"53,774","74,541",2937.24,1.39,4228,3.83,90.21,0.17,0.8,0.38,0.12,0.26,4.23,37.19,15.96,14.1,16.74,16.01
"Barton County, Kansas",Barton County,Kansas,2302,21,8480,77.37,179,1.63,2.70%,7.60%,30.40%,27.00%,10.60%,15.30%,6.40%,0.4307,"54,634","72,632",2318.71,10.99,25493,16.19,78.1,1.15,0.35,0.31,0.01,0.25,3.63,32.06,18.84,20.47,11.36,17.28
"Bourbon County, Kansas",Bourbon County,Kansas,1505,22.98,4910,74.96,135,2.06,3.00%,7.30%,30.30%,24.70%,11.00%,15.60%,8.10%,0.4227,"55,826","72,191",1645.84,8.75,14360,2.69,86.71,3.16,0.61,0.68,0.01,0.28,5.86,29.46,14.49,19.58,9.83,26.63
"Brown County, Kansas",Brown County,Kansas,1088,24.75,3206,72.93,102,2.32,1.30%,5.20%,38.90%,23.80%,10.80%,15.00%,5.10%,0.4191,"55,876","72,853",1478.55,6.42,9508,3.7,80.81,1.02,8.36,0.44,0.06,0.26,5.34,33.67,17.91,20.37,9.54,18.51
"Butler County, Kansas",Butler County,Kansas,9003,28.18,22250,69.65,693,2.17,1.60%,4.20%,27.60%,24.00%,10.50%,20.80%,11.20%,0.4043,"77,724","94,378",3702.95,18.26,67380,5.31,84.37,2.07,0.73,1.48,0.05,0.33,5.66,41.27,15.27,20.37,9.75,13.34
"Chase County, Kansas",Chase County,Kansas,341,23.07,1114,75.37,23,1.56,1.80%,4.90%,36.00%,21.80%,9.00%,20.60%,5.90%,0.4734,"52,481","76,004",2002.2,1.28,2572,8.63,86.63,0.7,0.31,0.31,0.04,0.35,3.03,30.87,14.24,19.47,12.44,22.98
"Chautauqua County, Kansas",Chautauqua County,Kansas,212,12.97,1397,85.5,25,1.53,3.60%,7.60%,35.70%,26.50%,10.40%,11.50%,4.70%,0.4404,"51,210","67,791",1654.69,2.05,3379,4.08,83.52,0.68,5.47,0.53,0,0.06,5.65,33.96,23.09,11.62,15.77,15.55
"Cherokee County, Kansas",Cherokee County,Kansas,2163,24.18,6622,74.03,160,1.79,2.70%,7.30%,32.40%,28.50%,9.20%,13.00%,6.70%,0.4114,"53,382","64,116",1521.79,12.74,19362,2.65,83.88,0.41,3.98,0.34,0.13,0.18,8.43,27.59,18.98,19.56,11.96,21.91
"Cheyenne County, Kansas",Cheyenne County,Kansas,220,15.71,1158,82.71,22,1.57,3.00%,7.80%,31.80%,26.20%,9.00%,17.40%,4.80%,0.4536,"52,730","71,667",2641.5,0.99,2616,9.1,84.98,0.23,0.27,0.46,0,0.15,4.82,39.8,18.15,17.99,12.38,11.68
"Clark County, Kansas",Clark County,Kansas,143,13.65,885,84.45,20,1.91,1.90%,3.90%,27.20%,27.70%,13.20%,21.20%,4.90%,0.3879,"58,287","70,781",2524.3,0.78,1991,10.2,83.78,0.05,1,1.21,0.05,0.35,3.37,37.32,15.96,17.55,13.95,15.22
"Clay County, Kansas",Clay County,Kansas,883,21.36,3129,75.69,122,2.95,2.60%,3.20%,34.80%,25.00%,8.10%,17.70%,8.60%,0.4165,"57,765","71,763",1671.31,4.84,8117,2.69,92.23,0.62,0.42,0.6,0,0.12,3.33,38.35,14.39,16.21,12.92,18.13
"Cloud County, Kansas",Cloud County,Kansas,893,21.39,3182,76.23,99,2.37,2.30%,1.90%,30.80%,27.00%,15.60%,14.40%,8.00%,0.4229,"51,197","66,846",1852.73,4.86,9032,3.53,91.18,1.36,0.44,0.44,0.04,0.12,2.88,36.98,16.94,17.81,14.65,13.62
"Coffey County, Kansas",Coffey County,Kansas,928,20.86,3407,76.6,113,2.54,2.40%,3.80%,32.50%,28.70%,10.40%,15.40%,6.80%,0.3938,"67,645","84,009",1623.62,5.13,8360,2.64,91.75,0.54,0.43,0.53,0.01,0.23,3.88,34.13,18.15,18.38,12.75,16.59
"Comanche County, Kansas",Comanche County,Kansas,126,13.94,745,82.41,33,3.65,1.70%,1.80%,31.40%,34.60%,9.40%,17.00%,4.10%,0.4032,"49,754","66,123",2041.68,0.89,1689,5.8,89.99,0.59,0.12,0,0.06,0.18,3.26,39.07,13.55,18.91,15.49,12.98
"Cowley County, Kansas",Cowley County,Kansas,4171,29.98,9442,67.87,298,2.14,2.20%,6.10%,29.40%,25.80%,12.00%,15.80%,8.70%,0.4581,"55,726","74,917",2915.65,11.89,34549,11.49,75.91,2.5,1.81,1.44,0.52,0.21,6.1,32.46,19.62,16.89,11.65,19.38
"Crawford County, Kansas",Crawford County,Kansas,6179,36.96,10045,60.08,494,2.95,2.10%,3.60%,29.20%,24.90%,9.40%,19.60%,11.30%,0.4656,"49,779","67,083",1527.5,25.54,38972,6.97,81.95,2.31,0.82,1.18,0.49,0.31,5.97,34.07,18.55,19.84,9.49,18.05
"Decatur County, Kansas",Decatur County,Kansas,208,14.27,1232,84.5,18,1.23,1.60%,4.80%,32.80%,25.50%,10.50%,21.10%,3.70%,0.4254,"49,412","67,705",2314.2,1.2,2764,2.75,92.8,0.33,0.25,0.36,0,0.11,3.4,34.71,18.35,19.65,14.53,12.77
"Dickinson County, Kansas",Dickinson County,Kansas,2040,22.06,7045,76.2,161,1.74,2.00%,4.40%,31.70%,27.40%,11.00%,16.80%,6.70%,0.4286,"62,971","81,081",2193.9,8.43,18402,4.92,89.4,0.57,0.4,0.4,0.11,0.37,3.83,36.63,15.74,18.25,12.82,16.56
"Doniphan County, Kansas",Doniphan County,Kansas,678,18.45,2949,80.27,47,1.28,2.90%,6.00%,33.60%,29.60%,9.10%,11.00%,7.80%,0.4228,"66,358","77,632",1019.1,7.36,7510,2.72,88.07,3.54,0.88,0.43,0.25,0.37,3.74,33.27,19.13,15.69,11.74,20.16
"Douglas County, Kansas",Douglas County,Kansas,39436,68.54,16737,29.09,1367,2.38,1.50%,2.40%,19.30%,18.30%,6.20%,29.00%,23.30%,0.4593,"66,153","89,488",1180.43,100.89,118785,6.98,76,4.3,2.17,3.92,0.07,0.44,6.11,46.41,17.58,19.24,6.23,10.54
"Edwards County, Kansas",Edwards County,Kansas,267,18.9,1127,79.76,19,1.34,5.50%,7.00%,35.10%,25.20%,9.40%,13.50%,4.30%,0.4206,"52,750","70,588",1610.7,1.77,2907,21.43,74.2,0.48,0.52,0.03,0.03,0.07,3.23,31.86,16.04,17.44,17.14,17.51
"Elk County, Kansas",Elk County,Kansas,191,14.18,1130,83.89,26,1.93,3.90%,9.10%,36.30%,26.50%,5.90%,12.60%,5.60%,0.4405,"50,000","66,254",1668.64,1.47,2483,4.07,89.17,0.04,1.73,0.12,0,0,4.87,38.43,17.91,18.43,13.82,11.41
"Ellis County, Kansas",Ellis County,Kansas,3633,26.91,9569,70.88,299,2.21,1.40%,3.30%,27.90%,19.80%,9.00%,24.00%,14.70%,0.4976,"59,665","88,751",2330.76,12.41,28934,6.97,86.78,1.1,0.22,0.92,0,0.28,3.73,39.92,19.67,20.99,8.99,10.43
"Ellsworth County, Kansas",Ellsworth County,Kansas,646,23.02,2106,75.05,54,1.92,1.40%,6.30%,34.90%,28.40%,8.30%,14.00%,6.90%,0.4007,"59,844","75,676",1853.33,3.44,6376,5.72,85.56,3.98,0.61,0.36,0,0.13,3.64,36.73,23.35,13.57,12.51,13.84
"Finney County, Kansas",Finney County,Kansas,4155,36.24,7079,61.74,232,2.02,17.10%,10.80%,24.20%,21.60%,7.90%,12.30%,6.20%,0.4028,"68,481","85,317",3372.16,11.32,38470,51.68,37.73,3.54,0.43,3.93,0.01,0.4,2.28,27.6,14.28,18.22,13.03,26.87
"Ford County, Kansas",Ford County,Kansas,2926,33.06,5763,65.12,161,1.82,13.50%,9.30%,25.40%,21.10%,10.90%,12.60%,7.20%,0.3966,"67,997","81,063",2844.51,12.03,34287,57.36,36.33,2.58,0.29,1.15,0.02,0.26,2.01,24.72,17.1,15.77,14.3,28.11
"Franklin County, Kansas",Franklin County,Kansas,3623,29.58,8326,67.98,298,2.43,3.10%,4.90%,36.30%,23.10%,8.70%,14.70%,9.30%,0.3897,"68,217","81,761",1480.88,17.54,25996,4.41,87.78,1.17,0.73,0.4,0.03,0.3,5.19,30.51,15.31,20.77,12.71,20.7
"Geary County, Kansas",Geary County,Kansas,3825,41.08,5193,55.77,293,3.15,2.70%,3.60%,26.30%,29.90%,13.70%,14.50%,9.40%,0.3949,"57,992","68,466",996.24,36.38,36739,15.72,54.32,16.5,0.56,3.22,1.23,0.51,7.93,31.15,19.62,19.06,15.04,15.13
"Gove County, Kansas",Gove County,Kansas,163,11.37,1256,87.65,14,0.98,2.20%,4.00%,39.40%,22.40%,12.40%,15.20%,4.50%,0.4192,"59,417","76,425",2775.6,0.99,2718,3.05,91.46,0.11,0.11,0.55,0.04,0.59,4.08,41.09,15.57,14.96,15.34,13.03
"Graham County, Kansas",Graham County,Kansas,222,17.05,1052,80.8,28,2.15,2.60%,3.50%,33.70%,23.70%,12.10%,18.10%,6.20%,0.3795,"47,071","60,647",2327.17,1.04,2415,2.57,90.23,2.28,0.33,0.58,0,0.58,3.44,31.34,16.14,22.2,16.05,14.26
"Grant County, Kansas",Grant County,Kansas,497,20.27,1910,77.9,45,1.84,19.20%,1.60%,26.90%,23.80%,8.20%,13.10%,7.20%,0.3886,"84,808","1,01,550",1488.75,4.93,7352,52.53,43.68,0.14,0.75,0.11,0.04,0.14,2.63,22.85,16.35,20.39,26.56,13.86
"Gray County, Kansas",Gray County,Kansas,337,15.04,1871,83.53,32,1.43,19.10%,5.50%,23.90%,20.50%,9.10%,17.80%,4.10%,0.4026,"74,500","93,977",2250.36,2.54,5653,14.84,81.89,0.34,0.09,0.25,0,0.14,2.46,33.13,15.46,20.09,16.58,14.74
"Greeley County, Kansas",Greeley County,Kansas,77,12.24,537,85.37,15,2.38,8.90%,2.10%,25.10%,19.00%,16.00%,17.50%,11.30%,0.3839,"69,948","85,945",2016.06,0.63,1284,15.5,80.69,0,0.31,0.39,0,0.78,2.34,39.1,12.94,22.22,15.33,10.41
"Greenwood County, Kansas",Greenwood County,Kansas,562,18.55,2404,79.34,64,2.11,2.80%,5.60%,36.90%,29.90%,8.80%,10.40%,5.50%,0.4928,"51,812","77,264",2961.14,2.03,6016,3.39,89.86,0.47,0.53,0.6,0.02,0.25,4.89,27.08,21.12,18.63,16.03,17.15
"Hamilton County, Kansas",Hamilton County,Kansas,134,16.01,684,81.72,19,2.27,6.50%,7.90%,39.80%,19.10%,7.50%,14.90%,4.40%,0.3883,"58,750","72,397",2580.96,0.98,2518,43.05,54.05,0.4,0.48,0.2,0,0.08,1.75,24.17,21.36,15.15,33.02,6.3
"Harper County, Kansas",Harper County,Kansas,453,17.25,2128,81.04,45,1.71,4.10%,6.20%,37.90%,27.70%,6.70%,11.40%,6.00%,0.4387,"53,032","67,153",2075.29,2.63,5485,7.75,85.94,0.29,1.35,0.27,0.04,0.07,4.28,30.38,15.97,17.77,17.54,18.33
"Harvey County, Kansas",Harvey County,Kansas,6652,39.05,10015,58.79,367,2.15,3.70%,4.50%,25.30%,25.10%,10.70%,20.80%,9.80%,0.3938,"70,685","84,841",1397.96,24.29,34024,11.92,80.38,1.75,0.54,0.76,0.03,0.24,4.38,36.89,16.59,17.67,9.87,18.99
"Haskell County, Kansas",Haskell County,Kansas,261,18.87,1103,79.75,19,1.37,18.30%,6.60%,25.60%,25.60%,8.20%,9.70%,6.00%,0.4026,"66,458","89,104",1495.77,2.5,3780,29.6,68.2,0.24,0.21,0.03,0,0.19,1.53,31.86,16.01,11.76,22.31,18.06
"Hodgeman County, Kansas",Hodgeman County,Kansas,151,14.62,866,83.83,16,1.55,3.60%,3.80%,28.00%,23.30%,10.80%,23.30%,7.20%,0.3674,"63,125","79,682",2227.37,0.79,1723,5.57,89.73,0.81,0.41,0.58,0.06,0.12,2.73,46.03,14.37,12.62,17.41,9.58
"Jackson County, Kansas",Jackson County,Kansas,1852,28.63,4435,68.57,181,2.8,2.10%,4.10%,38.00%,27.00%,7.90%,13.30%,7.60%,0.3719,"70,385","81,146",1699.6,7.81,13232,4.76,79.61,0.72,8.3,0.22,0.14,0.28,5.98,31.82,17.42,15.55,18.48,16.73
"Jefferson County, Kansas",Jefferson County,Kansas,3106,32.42,6193,64.64,282,2.94,1.80%,2.50%,37.90%,25.00%,8.30%,15.30%,9.20%,0.4053,"74,562","93,904",1379.49,13.33,18368,3.09,90.1,0.54,0.68,0.22,0.15,0.16,5.07,37.49,14.14,17.35,19.05,11.98
